Device: cuda
============ Train epoch 0 ============
 SVHN       | Train Loss: 0.1999 | Train Acc: 0.9825
 USPS       | Train Loss: 0.0397 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.1087 | Train Acc: 0.9987
 MNIST-M    | Train Loss: 0.1069 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1703 | Test  Acc: 0.9539
 SVHN       | Test  Loss: 1.0344 | Test  Acc: 0.6665
 USPS       | Test  Loss: 0.1428 | Test  Acc: 0.9602
 SynthDigits| Test  Loss: 0.6678 | Test  Acc: 0.7884
 MNIST-M    | Test  Loss: 0.7479 | Test  Acc: 0.7681
============ Train epoch 17 ============
 MNIST      | Train Loss: 0.0277 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.1574 | Train Acc: 0.9987
 USPS       | Train Loss: 0.0403 | Train Acc: 0.9987
 SynthDigits| Train Loss: 0.0899 | Train Acc: 0.9973
 MNIST-M    | Train Loss: 0.1295 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1595 | Test  Acc: 0.9572
 SVHN       | Test  Loss: 0.9724 | Test  Acc: 0.6949
 USPS       | Test  Loss: 0.1498 | Test  Acc: 0.9629
 SynthDigits| Test  Loss: 0.6285 | Test  Acc: 0.8043
 MNIST-M    | Test  Loss: 0.7635 | Test  Acc: 0.7601
============ Train epoch 18 ============
 MNIST      | Train Loss: 0.0258 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.1340 | Train Acc: 0.9973
 USPS       | Train Loss: 0.0308 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0721 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0885 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1551 | Test  Acc: 0.9576
 SVHN       | Test  Loss: 0.9791 | Test  Acc: 0.6893
 USPS       | Test  Loss: 0.1416 | Test  Acc: 0.9651
 SynthDigits| Test  Loss: 0.6070 | Test  Acc: 0.8101
 MNIST-M    | Test  Loss: 0.7363 | Test  Acc: 0.7760
============ Train epoch 19 ============
 MNIST      | Train Loss: 0.0201 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.1068 | Train Acc: 1.0000
 USPS       | Train Loss: 0.0230 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0607 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0711 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1518 | Test  Acc: 0.9569
 SVHN       | Test  Loss: 0.9647 | Test  Acc: 0.6937
 USPS       | Test  Loss: 0.1304 | Test  Acc: 0.9677
 SynthDigits| Test  Loss: 0.6009 | Test  Acc: 0.8121
 MNIST-M    | Test  Loss: 0.7189 | Test  Acc: 0.7781
============ Train epoch 20 ============
 MNIST      | Train Loss: 0.0171 | Train Acc: 1.0000
