Device: cuda
============ Train epoch 0 ============
 USPS       | Test  Loss: 0.1708 | Test  Acc: 0.9500
 SynthDigits| Test  Loss: 0.6333 | Test  Acc: 0.8016
 MNIST-M    | Test  Loss: 0.7810 | Test  Acc: 0.7490
============ Train epoch 22 ============
 MNIST      | Train Loss: 0.0374 | Train Acc: 0.9987
 SVHN       | Train Loss: 0.5566 | Train Acc: 0.8466
 USPS       | Train Loss: 0.0766 | Train Acc: 0.9785
 SynthDigits| Train Loss: 0.0994 | Train Acc: 0.9973
 MNIST-M    | Train Loss: 0.1237 | Train Acc: 0.9987
 MNIST      | Test  Loss: 0.1777 | Test  Acc: 0.9473
 SVHN       | Test  Loss: 1.2066 | Test  Acc: 0.5959
 USPS       | Test  Loss: 0.1948 | Test  Acc: 0.9419
 SynthDigits| Test  Loss: 0.6551 | Test  Acc: 0.7894
 MNIST-M    | Test  Loss: 0.8070 | Test  Acc: 0.7399
============ Train epoch 23 ============
 MNIST      | Train Loss: 0.0247 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.5385 | Train Acc: 0.8721
 USPS       | Train Loss: 0.0636 | Train Acc: 0.9798
 SynthDigits| Train Loss: 0.0898 | Train Acc: 0.9973
 MNIST-M    | Train Loss: 0.1238 | Train Acc: 0.9973
 MNIST      | Test  Loss: 0.1537 | Test  Acc: 0.9544
 SVHN       | Test  Loss: 1.1729 | Test  Acc: 0.6117
 USPS       | Test  Loss: 0.1862 | Test  Acc: 0.9441
 SynthDigits| Test  Loss: 0.6363 | Test  Acc: 0.7955
 MNIST-M    | Test  Loss: 0.7856 | Test  Acc: 0.7461
============ Train epoch 24 ============
 MNIST      | Train Loss: 0.0248 | Train Acc: 0.9987
 SVHN       | Train Loss: 0.5083 | Train Acc: 0.8910
 USPS       | Train Loss: 0.0495 | Train Acc: 0.9879
 SynthDigits| Train Loss: 0.0749 | Train Acc: 0.9973
 MNIST-M    | Train Loss: 0.1082 | Train Acc: 0.9973
 MNIST      | Test  Loss: 0.1525 | Test  Acc: 0.9538
 SVHN       | Test  Loss: 1.1676 | Test  Acc: 0.6112
 USPS       | Test  Loss: 0.1651 | Test  Acc: 0.9500
 SynthDigits| Test  Loss: 0.6177 | Test  Acc: 0.8024
 MNIST-M    | Test  Loss: 0.8097 | Test  Acc: 0.7341
============ Train epoch 25 ============
 MNIST      | Train Loss: 0.0291 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.5107 | Train Acc: 0.8910
 USPS       | Train Loss: 0.0688 | Train Acc: 0.9798
 SynthDigits| Train Loss: 0.0867 | Train Acc: 0.9973
 MNIST-M    | Train Loss: 0.1181 | Train Acc: 0.9987
 MNIST      | Test  Loss: 0.1571 | Test  Acc: 0.9554
